login_attempts_last_5m,distinct_users_from_ip_last_5m,hour_of_day,day_of_week,is_attack
20,5,0,6,1
1,1,8,0,0
24,41,6,6,1
2,1,16,3,0
13,21,3,3,1
3,1,19,4,0
1,1,8,1,0
2,1,19,0,0
1,1,21,4,0
2,1,8,1,0
2,1,13,0,0
1,1,14,6,0
1,1,6,2,0
63,1,14,5,1
1,1,13,0,0
1,1,17,2,0
3,1,13,0,0
1,1,16,4,0
1,1,19,0,0
1,1,19,0,0
2,1,18,4,0
5,5,6,6,1
2,1,22,4,0
86,1,18,2,1
1,1,19,0,0
1,1,15,4,0
1,1,12,1,0
81,1,8,4,1
1,1,15,2,0
6,5,0,6,1
2,1,8,1,0
1,1,11,2,0
1,1,15,3,0
14,44,21,1,1
2,1,15,0,0
1,1,10,4,0
1,1,10,1,0
63,1,9,1,1
1,1,21,2,0
2,1,9,0,0
1,1,8,3,0
2,1,10,2,0
1,1,9,5,0
1,1,8,1,0
1,1,14,2,0
3,1,18,1,0
1,1,14,3,0
1,1,12,1,0
1,1,19,3,0
1,1,11,0,0
1,1,12,1,0
1,1,18,1,0
96,1,9,5,1
1,1,17,3,0
1,1,11,4,0
2,1,12,4,0
2,1,16,3,0
2,1,14,1,0
1,1,19,3,0
12,5,0,6,1
1,1,12,5,0
1,1,19,3,0
1,1,18,0,0
34,47,6,2,1
1,1,17,5,0
2,1,19,1,0
19,5,20,5,1
2,1,18,1,0
1,1,5,0,0
1,1,13,0,0
1,1,19,6,0
1,1,8,1,0
19,1,22,6,1
34,12,2,4,1
1,1,19,0,0
11,1,0,6,1
2,1,11,4,0
15,3,22,6,1
1,1,13,2,0
1,1,15,0,0
2,1,8,1,0
14,4,4,5,1
1,1,15,0,0
20,45,20,4,1
1,1,11,1,0
1,1,8,1,0
1,1,10,1,0
2,1,11,5,0
1,1,17,1,0
58,2,13,6,1
1,1,23,4,0
1,1,15,1,0
1,1,9,2,0
1,1,15,2,0
100,2,4,2,1
2,1,13,5,0
99,2,9,2,1
6,1,7,6,1
1,1,9,1,0
1,1,19,4,0
1,1,9,4,0
3,1,14,2,0
1,1,5,0,0
2,1,18,4,0
1,1,9,2,0
41,37,7,3,1
1,1,11,2,0
1,1,11,0,0
2,1,12,3,0
1,1,8,4,0
1,1,15,5,0
1,1,12,1,0
1,1,11,1,0
1,1,19,1,0
1,1,19,4,0
29,12,21,1,1
1,1,14,6,0
47,1,15,1,1
2,1,17,0,0
69,1,13,6,1
1,1,11,3,0
2,1,18,2,0
11,3,6,5,1
1,1,14,4,0
88,1,0,2,1
1,1,4,0,0
17,5,2,6,1
1,1,12,1,0
1,1,12,6,0
1,1,10,3,0
53,1,18,3,1
2,1,17,6,0
1,1,13,1,0
6,1,3,6,1
1,1,20,3,0
1,1,17,2,0
2,1,8,2,0
1,1,15,4,0
16,1,21,5,1
1,1,14,4,0
1,1,8,2,0
1,1,2,3,0
6,4,22,6,1
1,1,19,1,0
1,1,14,2,0
3,1,21,1,0
15,3,3,5,1
58,1,0,3,1
1,1,21,4,0
1,1,8,2,0
1,1,15,3,0
1,1,9,4,0
2,1,16,3,0
36,28,20,6,1
1,1,13,1,0
1,1,17,1,0
21,10,5,3,1
68,1,17,2,1
6,1,6,6,1
1,1,12,1,0
1,1,10,3,0
1,1,17,6,0
2,1,9,6,0
1,1,14,0,0
1,1,15,4,0
1,1,15,1,0
20,1,22,5,1
53,1,12,3,1
22,1,13,1,1
